2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,447 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709134&intPage=2&code=10004124', 'number': 13, 'result': '', 'title': '2022년 추석 연휴 문여는 병·의원 및 약국 안내', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,744 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709114&intPage=2&code=10004124', 'number': 14, 'result': '', 'title': '무중력지대 도봉 2022년 「2022 도봉구청년네트워크」프로젝트 매니저채용 알림', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,744 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709114&intPage=2&code=10004124', 'number': 14, 'result': '', 'title': '무중력지대 도봉 2022년 「2022 도봉구청년네트워크」프로젝트 매니저채용 알림', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
2022-09-19 09:45:57,744 - root - INFO - {'link': 'https://www.dobong.go.kr./bbs.asp?bmode=D&pcode=12709114&intPage=2&code=10004124', 'number': 14, 'result': '', 'title': '무중력지대 도봉 2022년 「2022 도봉구청년네트워크」프로젝트 매니저채용 알림', 'apperiod': '', 'registrationdate': '2022.09.06', 'center_name ': '동대문_공지사항'}
